ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 21:04:58 208m





Sample number Relative time HS4D-50(28994).Ch1
  s V
209 4.18E-6 0.07280081
210 4.2E-6 0.064711832
211 4.22E-6 0.056622853
212 4.24E-6 0.07280081
213 4.26E-6 0.064711832
214 4.28E-6 0.060667342
215 4.3E-6 0.068756321
216 4.32E-6 0.084934279
217 4.34E-6 0.10920122
218 4.36E-6 0.11729019
219 4.38E-6 0.11324571
220 4.4E-6 0.10920122
221 4.42E-6 0.097067747
222 4.44E-6 0.084934279
223 4.46E-6 0.0768453
224 4.48E-6 0.0768453
225 4.5E-6 0.084934279
226 4.52E-6 0.07280081
227 4.54E-6 0.056622853
228 4.56E-6 0.064711832
229 4.58E-6 0.093023258
230 4.6E-6 0.10111224
231 4.62E-6 0.10111224
232 4.64E-6 0.093023258
233 4.66E-6 0.068756321
234 4.68E-6 0.052578363
235 4.7E-6 0.044489384
236 4.72E-6 0.052578363
237 4.74E-6 0.056622853
238 4.76E-6 0.07280081
239 4.78E-6 0.088978768
240 4.8E-6 0.088978768
241 4.82E-6 0.0768453
242 4.84E-6 0.07280081
243 4.86E-6 0.084934279
244 4.88E-6 0.080889789
245 4.9E-6 0.084934279
246 4.92E-6 0.07280081
247 4.94E-6 0.064711832
248 4.96E-6 0.052578363
249 4.98E-6 0.048533874
250 5E-6 0.052578363
251 5.02E-6 0.064711832
252 5.04E-6 0.0768453
253 5.06E-6 0.088978768
254 5.08E-6 0.088978768
255 5.1E-6 0.10111224
256 5.12E-6 0.097067747
257 5.14E-6 0.0768453
258 5.16E-6 0.052578363
259 5.18E-6 0.036400405
260 5.2E-6 0.024266937
261 5.22E-6 0.032355916
262 5.24E-6 0.040444895
263 5.26E-6 0.036400405
264 5.28E-6 0.044489384
265 5.3E-6 0.044489384
266 5.32E-6 0.044489384
267 5.34E-6 0.044489384
268 5.36E-6 0.032355916
269 5.38E-6 0.028311426
270 5.4E-6 0.016177958
271 5.42E-6 0.016177958
272 5.44E-6 0.028311426
273 5.46E-6 0.012133468
274 5.48E-6 -0.0040444895
275 5.5E-6 -0.0040444895
276 5.52E-6 0.060667342
277 5.54E-6 0.060667342
278 5.56E-6 0
279 5.58E-6 0.016177958
280 5.6E-6 0.07280081
281 5.62E-6 0.068756321
282 5.64E-6 0.016177958
283 5.66E-6 -0.032355916
284 5.68E-6 0.0080889789
285 5.7E-6 0.040444895
286 5.72E-6 -0.0080889789
287 5.74E-6 -0.020222447
288 5.76E-6 0.012133468
289 5.78E-6 0.032355916
290 5.8E-6 0.020222447
291 5.82E-6 0.028311426
292 5.84E-6 0.060667342
293 5.86E-6 0.060667342
294 5.88E-6 0.028311426
295 5.9E-6 -0.0080889789
296 5.92E-6 0.016177958
297 5.94E-6 0.024266937
298 5.96E-6 -0.020222447
299 5.98E-6 -0.020222447
300 6E-6 0.040444895
301 6.02E-6 0.056622853
302 6.04E-6 -0.0080889789
303 6.06E-6 0.036400405
304 6.08E-6 0.093023258
305 6.1E-6 0.064711832
306 6.12E-6 0.032355916
307 6.14E-6 0.052578363
308 6.16E-6 0.0768453
309 6.18E-6 0.036400405
310 6.2E-6 0.016177958
311 6.22E-6 0.068756321
312 6.24E-6 0.0768453
313 6.26E-6 0.048533874
314 6.28E-6 0.060667342
315 6.3E-6 0.093023258
316 6.32E-6 0.088978768
317 6.34E-6 0.060667342
318 6.36E-6 0.048533874
319 6.38E-6 0.056622853
320 6.4E-6 0.024266937
321 6.42E-6 0.028311426
322 6.44E-6 0.056622853
323 6.46E-6 0.07280081
324 6.48E-6 0.060667342
325 6.5E-6 0.080889789
326 6.52E-6 0.097067747
327 6.54E-6 0.093023258
328 6.56E-6 0.080889789
329 6.58E-6 0.084934279
330 6.6E-6 0.084934279
331 6.62E-6 0.068756321
332 6.64E-6 0.056622853
333 6.66E-6 0.07280081
334 6.68E-6 0.093023258
335 6.7E-6 0.093023258
336 6.72E-6 0.093023258
337 6.74E-6 0.097067747
338 6.76E-6 0.097067747
339 6.78E-6 0.068756321
340 6.8E-6 0.068756321
341 6.82E-6 0.080889789
342 6.84E-6 0.0768453
343 6.86E-6 0.0768453
344 6.88E-6 0.080889789
345 6.9E-6 0.088978768
346 6.92E-6 0.093023258
347 6.94E-6 0.084934279
348 6.96E-6 0.088978768
349 6.98E-6 0.07280081
350 7E-6 0.064711832
351 7.02E-6 0.068756321
352 7.04E-6 0.080889789
353 7.06E-6 0.084934279
354 7.08E-6 0.093023258
355 7.1E-6 0.0768453
356 7.12E-6 0.056622853
357 7.14E-6 0.028311426
358 7.16E-6 0.016177958
359 7.18E-6 0.028311426
360 7.2E-6 0.052578363
361 7.22E-6 0.068756321
362 7.24E-6 0.093023258
363 7.26E-6 0.10920122
364 7.28E-6 0.097067747
365 7.3E-6 0.093023258
366 7.32E-6 0.080889789
367 7.34E-6 0.068756321
368 7.36E-6 0.060667342
369 7.38E-6 0.048533874
370 7.4E-6 0.060667342
371 7.42E-6 0.07280081
372 7.44E-6 0.080889789
373 7.46E-6 0.0768453
374 7.48E-6 0.056622853
375 7.5E-6 0.044489384
376 7.52E-6 0.044489384
377 7.54E-6 0.060667342
378 7.56E-6 0.093023258
379 7.58E-6 0.10920122
380 7.6E-6 0.11324571
381 7.62E-6 0.10920122
382 7.64E-6 0.10515673
383 7.66E-6 0.084934279
384 7.68E-6 0.064711832
385 7.7E-6 0.044489384
386 7.72E-6 0.044489384
387 7.74E-6 0.052578363
388 7.76E-6 0.068756321
389 7.78E-6 0.093023258
390 7.8E-6 0.10920122
391 7.82E-6 0.11729019
392 7.84E-6 0.10920122
393 7.86E-6 0.0768453
394 7.88E-6 0.048533874
395 7.9E-6 0.044489384
396 7.92E-6 0.044489384
397 7.94E-6 0.060667342
398 7.96E-6 0.080889789
399 7.98E-6 0.097067747
400 8E-6 0.10515673
401 8.02E-6 0.10111224
402 8.04E-6 0.0768453
403 8.06E-6 0.068756321
404 8.08E-6 0.068756321
405 8.1E-6 0.084934279
406 8.12E-6 0.080889789
407 8.14E-6 0.068756321
408 8.16E-6 0.056622853
409 8.18E-6 0.10111224
410 8.2E-6 0.11324571
411 8.22E-6 0.028311426
412 8.24E-6 0.0080889789
413 8.26E-6 0.056622853
414 8.28E-6 0.088978768
415 8.3E-6 0.088978768
416 8.32E-6 0.048533874
417 8.34E-6 0.068756321
418 8.36E-6 0.12537917
419 8.38E-6 0.080889789
420 8.4E-6 0.028311426
421 8.42E-6 0.048533874
422 8.44E-6 0.07280081
423 8.46E-6 0.060667342
424 8.48E-6 0.064711832
425 8.5E-6 0.11324571
426 8.52E-6 0.14560162
427 8.54E-6 0.13346815
428 8.56E-6 0.10111224
429 8.58E-6 0.080889789
430 8.6E-6 0.10111224
431 8.62E-6 0.052578363
432 8.64E-6 -0.028311426
433 8.66E-6 0.028311426
434 8.68E-6 0.10515673
435 8.7E-6 0.0768453
436 8.72E-6 0.093023258
437 8.74E-6 0.13751264
438 8.76E-6 0.14964611
439 8.78E-6 0.084934279
440 8.8E-6 0.056622853
441 8.82E-6 0.10920122
442 8.84E-6 0.10111224
443 8.86E-6 0.068756321
444 8.88E-6 0.11729019
445 8.9E-6 0.14155713
446 8.92E-6 0.13346815
447 8.94E-6 0.11729019
448 8.96E-6 0.13751264
449 8.98E-6 0.16177958
450 9E-6 0.11729019
451 9.02E-6 0.11729019
452 9.04E-6 0.14560162
453 9.06E-6 0.14155713
454 9.08E-6 0.10920122
455 9.1E-6 0.093023258
456 9.12E-6 0.11729019
457 9.14E-6 0.10920122
458 9.16E-6 0.097067747
459 9.18E-6 0.11729019
460 9.2E-6 0.12942366
461 9.22E-6 0.10920122
462 9.24E-6 0.10111224
463 9.26E-6 0.12133468
464 9.28E-6 0.11729019
465 9.3E-6 0.097067747
466 9.32E-6 0.088978768
467 9.34E-6 0.097067747
468 9.36E-6 0.097067747
469 9.38E-6 0.093023258
470 9.4E-6 0.10920122
471 9.42E-6 0.11729019
472 9.44E-6 0.11324571
473 9.46E-6 0.11324571
474 9.48E-6 0.11729019
475 9.5E-6 0.10111224
476 9.52E-6 0.088978768
477 9.54E-6 0.064711832
478 9.56E-6 0.064711832
479 9.58E-6 0.056622853
480 9.6E-6 0.048533874
481 9.62E-6 0.060667342
482 9.64E-6 0.068756321
483 9.66E-6 0.048533874
484 9.68E-6 0.040444895
485 9.7E-6 0.052578363
486 9.72E-6 0.048533874
487 9.74E-6 0.052578363
488 9.76E-6 0.052578363
489 9.78E-6 0.060667342
490 9.8E-6 0.060667342
491 9.82E-6 0.056622853
492 9.84E-6 0.056622853
493 9.86E-6 0.064711832
494 9.88E-6 0.060667342
495 9.9E-6 0.048533874
496 9.92E-6 0.056622853
497 9.94E-6 0.064711832
498 9.96E-6 0.060667342
499 9.98E-6 0.064711832
500 1E-5 0.097067747
501 1.002E-5 0.060667342
502 1.004E-5 0.0040444895
503 1.006E-5 0.028311426
504 1.008E-5 0.21840243
505 1.01E-5 0.14964611
506 1.012E-5 0.048533874
507 1.014E-5 0.060667342
508 1.016E-5 0.07280081
509 1.018E-5 0.084934279
510 1.02E-5 0.080889789
511 1.022E-5 0.097067747
512 1.024E-5 0.17391305
513 1.026E-5 0.036400405
514 1.028E-5 0.064711832
515 1.03E-5 0.14560162
516 1.032E-5 0.10920122
517 1.034E-5 0.12942366
518 1.036E-5 0.0768453
519 1.038E-5 0.12133468
520 1.04E-5 0.097067747
521 1.042E-5 0.064711832
522 1.044E-5 0.12942366
523 1.046E-5 0.12133468
524 1.048E-5 0.093023258
525 1.05E-5 0.11324571
526 1.052E-5 0.14964611
527 1.054E-5 0.16177958
528 1.056E-5 0.11729019
529 1.058E-5 0.1536906
530 1.06E-5 0.15773509
531 1.062E-5 0.068756321
532 1.064E-5 0.024266937
533 1.066E-5 0.084934279
534 1.068E-5 0.1536906
535 1.07E-5 0.12942366
536 1.072E-5 0.1536906
537 1.074E-5 0.19817998
538 1.076E-5 0.16177958
539 1.078E-5 0.088978768
540 1.08E-5 0.093023258
541 1.082E-5 0.10515673
542 1.084E-5 0.097067747
543 1.086E-5 0.10111224
544 1.088E-5 0.084934279
545 1.09E-5 0.064711832
546 1.092E-5 0.088978768
547 1.094E-5 0.13751264
548 1.096E-5 0.18604652
549 1.098E-5 0.14155713
550 1.1E-5 0.0768453
551 1.102E-5 0.11729019
552 1.104E-5 0.12537917
553 1.106E-5 0.064711832
554 1.108E-5 0.044489384
555 1.11E-5 0.097067747
556 1.112E-5 0.10515673
557 1.114E-5 0.068756321
558 1.116E-5 0.07280081
559 1.118E-5 0.13751264
560 1.12E-5 0.12133468
561 1.122E-5 0.07280081
562 1.124E-5 0.060667342
563 1.126E-5 0.10515673
564 1.128E-5 0.088978768
565 1.13E-5 0.052578363
566 1.132E-5 0.084934279
567 1.134E-5 0.13346815
568 1.136E-5 0.064711832
569 1.138E-5 0.016177958
570 1.14E-5 0.068756321
571 1.142E-5 0.093023258
572 1.144E-5 0.060667342
573 1.146E-5 0.056622853
574 1.148E-5 0.11324571
575 1.15E-5 0.10920122
576 1.152E-5 0.056622853
577 1.154E-5 0.052578363
578 1.156E-5 0.088978768
579 1.158E-5 0.07280081
580 1.16E-5 0.048533874
581 1.162E-5 0.064711832
582 1.164E-5 0.07280081
583 1.166E-5 0.068756321
584 1.168E-5 0.060667342
585 1.17E-5 0.088978768
586 1.172E-5 0.097067747
587 1.174E-5 0.068756321
588 1.176E-5 0.084934279
589 1.178E-5 0.10920122
590 1.18E-5 0.10515673
591 1.182E-5 0.10920122
592 1.184E-5 0.10920122
593 1.186E-5 0.11729019
594 1.188E-5 0.093023258
595 1.19E-5 0.068756321
596 1.192E-5 0.080889789
597 1.194E-5 0.07280081
598 1.196E-5 0.060667342
599 1.198E-5 0.064711832
600 1.2E-5 0.084934279
601 1.202E-5 0.10111224
602 1.204E-5 0.10515673
603 1.206E-5 0.10515673
604 1.208E-5 0.11324571
605 1.21E-5 0.088978768
606 1.212E-5 0.07280081
607 1.214E-5 0.0768453
