ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 20:25:12 873m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.78867545
1 2E-8 -2.5197169
2 4E-8 -3.445905
3 6E-8 -3.7896866
4 8E-8 -3.7371083
5 1E-7 -3.7371083
6 1.2E-7 -3.7411528
7 1.4E-7 -3.0697675
8 1.6E-7 -2.5520729
9 1.8E-7 -2.2163802
10 2E-7 -1.3023256
11 2.2E-7 -0.9989889
12 2.4E-7 -1.1001011
13 2.6E-7 -0.958544
14 2.8E-7 -0.85743177
15 3E-7 -0.47320527
16 3.2E-7 -0.088978768
17 3.4E-7 0.080889789
18 3.6E-7 0.29524773
19 3.8E-7 0.12942366
20 4E-7 -0.068756321
21 4.2E-7 0.16177958
22 4.4E-7 0.44084935
23 4.6E-7 0.5379171
24 4.8E-7 0.55813955
25 5E-7 0.60262893
26 5.2E-7 0.65925178
27 5.4E-7 0.7280081
28 5.6E-7 0.85743177
29 5.8E-7 0.97472196
30 6E-7 0.84934279
31 6.2E-7 0.76036402
32 6.4E-7 0.74014157
33 6.6E-7 0.33164814
34 6.8E-7 0.080889789
35 7E-7 0.63498485
36 7.2E-7 0.3437816
37 7.4E-7 0.10111224
38 7.6E-7 0.46511629
39 7.8E-7 0.61880689
40 8E-7 1.148635
41 8.2E-7 1.2335693
42 8.4E-7 0.85338728
43 8.6E-7 1.0717897
44 8.8E-7 1.0758342
45 9E-7 0.81698687
46 9.2E-7 0.99494441
47 9.4E-7 1.0758342
48 9.6E-7 0.89383217
49 9.8E-7 0.85743177
50 1E-6 0.97472196
51 1.02E-6 1.1850354
52 1.04E-6 1.2012134
53 1.06E-6 1.1809909
54 1.08E-6 1.2699697
55 1.1E-6 1.2295248
56 1.12E-6 1.1001011
57 1.14E-6 1.140546
58 1.16E-6 1.1971689
59 1.18E-6 1.0960566
60 1.2E-6 0.98281094
61 1.22E-6 1.0475228
62 1.24E-6 1.1243681
63 1.26E-6 1.0960566
64 1.28E-6 1.1081901
65 1.3E-6 1.1850354
66 1.32E-6 1.1122346
67 1.34E-6 1.0232558
68 1.36E-6 1.0515673
69 1.38E-6 1.0758342
70 1.4E-6 0.99494441
71 1.42E-6 0.90596564
72 1.44E-6 0.9221436
73 1.46E-6 0.93023258
74 1.48E-6 0.8816987
75 1.5E-6 0.88978768
76 1.52E-6 0.91809911
77 1.54E-6 0.86552075
78 1.56E-6 0.80080891
79 1.58E-6 0.80889789
80 1.6E-6 0.84125381
81 1.62E-6 0.80889789
82 1.64E-6 0.74823055
83 1.66E-6 0.73205259
84 1.68E-6 0.71587464
85 1.7E-6 0.67542974
86 1.72E-6 0.67542974
87 1.74E-6 0.71183015
88 1.76E-6 0.67542974
89 1.78E-6 0.58645097
90 1.8E-6 0.55409506
91 1.82E-6 0.66329627
92 1.84E-6 0.8048534
93 1.86E-6 0.84125381
94 1.88E-6 0.76440851
95 1.9E-6 0.66734076
96 1.92E-6 0.61071791
97 1.94E-6 0.61071791
98 1.96E-6 0.63902934
99 1.98E-6 0.64307383
100 2E-6 0.61071791
101 2.02E-6 0.58240648
102 2.04E-6 0.56622853
