ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 20:56:29 582m





Sample number Relative time HS4D-50(28994).Ch1
  s V
223 0.00012946 0.0040444895
224 0.00012948 0.0080889789
225 0.0001295 -0.024266937
226 0.00012952 -0.048533874
227 0.00012954 -0.032355916
228 0.00012956 -0.0040444895
229 0.00012958 0.020222447
230 0.0001296 0.016177958
231 0.00012962 -0.032355916
232 0.00012964 -0.056622853
233 0.00012966 -0.024266937
234 0.00012968 0.028311426
235 0.0001297 0.036400405
236 0.00012972 -0.0080889789
237 0.00012974 -0.056622853
238 0.00012976 -0.052578363
239 0.00012978 -0.016177958
240 0.0001298 0.020222447
241 0.00012982 0.024266937
242 0.00012984 -0.016177958
243 0.00012986 -0.036400405
244 0.00012988 -0.028311426
245 0.0001299 -0.016177958
246 0.00012992 -0.016177958
247 0.00012994 -0.028311426
248 0.00012996 -0.036400405
249 0.00012998 -0.016177958
250 0.00013 0.0080889789
251 0.00013002 0.0040444895
252 0.00013004 -0.032355916
253 0.00013006 -0.064711832
254 0.00013008 -0.048533874
255 0.0001301 -0.016177958
256 0.00013012 0
257 0.00013014 -0.024266937
258 0.00013016 -0.048533874
259 0.00013018 -0.048533874
260 0.0001302 -0.036400405
261 0.00013022 -0.020222447
262 0.00013024 -0.020222447
263 0.00013026 -0.040444895
264 0.00013028 -0.048533874
265 0.0001303 -0.036400405
266 0.00013032 -0.024266937
267 0.00013034 -0.024266937
268 0.00013036 -0.028311426
269 0.00013038 -0.040444895
270 0.0001304 -0.040444895
271 0.00013042 -0.028311426
272 0.00013044 -0.024266937
273 0.00013046 -0.032355916
274 0.00013048 -0.032355916
275 0.0001305 -0.036400405
276 0.00013052 -0.040444895
277 0.00013054 -0.032355916
278 0.00013056 -0.028311426
279 0.00013058 -0.024266937
280 0.0001306 -0.032355916
281 0.00013062 -0.044489384
282 0.00013064 -0.044489384
283 0.00013066 -0.040444895
284 0.00013068 -0.032355916
285 0.0001307 -0.032355916
286 0.00013072 -0.036400405
287 0.00013074 -0.032355916
288 0.00013076 -0.040444895
289 0.00013078 -0.028311426
290 0.0001308 -0.024266937
291 0.00013082 -0.028311426
292 0.00013084 -0.032355916
293 0.00013086 -0.032355916
294 0.00013088 -0.036400405
295 0.0001309 -0.028311426
296 0.00013092 -0.020222447
297 0.00013094 -0.020222447
298 0.00013096 -0.032355916
299 0.00013098 -0.044489384
300 0.000131 -0.052578363
301 0.00013102 -0.056622853
302 0.00013104 -0.060667342
303 0.00013106 -0.052578363
304 0.00013108 -0.052578363
305 0.0001311 -0.060667342
306 0.00013112 -0.060667342
307 0.00013114 -0.056622853
308 0.00013116 -0.052578363
309 0.00013118 -0.052578363
310 0.0001312 -0.056622853
311 0.00013122 -0.060667342
312 0.00013124 -0.056622853
313 0.00013126 -0.048533874
314 0.00013128 -0.048533874
315 0.0001313 -0.048533874
316 0.00013132 -0.048533874
317 0.00013134 -0.052578363
318 0.00013136 -0.044489384
319 0.00013138 -0.044489384
320 0.0001314 -0.048533874
321 0.00013142 -0.048533874
322 0.00013144 -0.048533874
323 0.00013146 -0.040444895
324 0.00013148 -0.048533874
325 0.0001315 -0.048533874
326 0.00013152 -0.044489384
327 0.00013154 -0.044489384
328 0.00013156 -0.044489384
329 0.00013158 -0.044489384
330 0.0001316 -0.040444895
331 0.00013162 -0.048533874
332 0.00013164 -0.048533874
333 0.00013166 -0.048533874
334 0.00013168 -0.044489384
335 0.0001317 -0.040444895
336 0.00013172 -0.036400405
337 0.00013174 -0.036400405
338 0.00013176 -0.032355916
339 0.00013178 -0.032355916
340 0.0001318 -0.024266937
341 0.00013182 -0.032355916
342 0.00013184 -0.040444895
343 0.00013186 -0.040444895
344 0.00013188 -0.044489384
345 0.0001319 -0.036400405
346 0.00013192 -0.036400405
347 0.00013194 -0.040444895
348 0.00013196 -0.044489384
349 0.00013198 -0.040444895
350 0.000132 -0.040444895
351 0.00013202 -0.048533874
352 0.00013204 -0.048533874
353 0.00013206 -0.048533874
354 0.00013208 -0.048533874
355 0.0001321 -0.048533874
356 0.00013212 -0.048533874
357 0.00013214 -0.048533874
358 0.00013216 -0.048533874
359 0.00013218 -0.048533874
360 0.0001322 -0.048533874
361 0.00013222 -0.040444895
362 0.00013224 -0.036400405
363 0.00013226 -0.052578363
364 0.00013228 -0.044489384
365 0.0001323 -0.048533874
366 0.00013232 -0.044489384
367 0.00013234 -0.040444895
368 0.00013236 -0.040444895
369 0.00013238 -0.044489384
370 0.0001324 -0.032355916
371 0.00013242 -0.028311426
372 0.00013244 -0.036400405
373 0.00013246 -0.040444895
374 0.00013248 -0.036400405
375 0.0001325 -0.036400405
376 0.00013252 -0.036400405
377 0.00013254 -0.036400405
378 0.00013256 -0.036400405
379 0.00013258 -0.048533874
380 0.0001326 -0.052578363
381 0.00013262 -0.044489384
382 0.00013264 -0.048533874
383 0.00013266 -0.044489384
384 0.00013268 -0.048533874
385 0.0001327 -0.048533874
386 0.00013272 -0.040444895
387 0.00013274 -0.040444895
388 0.00013276 -0.040444895
389 0.00013278 -0.036400405
390 0.0001328 -0.036400405
391 0.00013282 -0.040444895
392 0.00013284 -0.040444895
393 0.00013286 -0.052578363
394 0.00013288 -0.052578363
395 0.0001329 -0.052578363
396 0.00013292 -0.044489384
397 0.00013294 -0.052578363
398 0.00013296 -0.048533874
399 0.00013298 -0.048533874
400 0.000133 -0.040444895
401 0.00013302 -0.048533874
402 0.00013304 -0.044489384
403 0.00013306 -0.036400405
404 0.00013308 -0.044489384
405 0.0001331 -0.048533874
406 0.00013312 -0.048533874
407 0.00013314 -0.052578363
408 0.00013316 -0.036400405
409 0.00013318 -0.032355916
410 0.0001332 -0.040444895
411 0.00013322 -0.036400405
412 0.00013324 -0.040444895
413 0.00013326 -0.044489384
414 0.00013328 -0.032355916
415 0.0001333 -0.032355916
416 0.00013332 -0.028311426
417 0.00013334 -0.032355916
418 0.00013336 -0.040444895
419 0.00013338 -0.044489384
420 0.0001334 -0.044489384
421 0.00013342 -0.036400405
422 0.00013344 -0.040444895
423 0.00013346 -0.044489384
424 0.00013348 -0.040444895
425 0.0001335 -0.040444895
426 0.00013352 -0.032355916
427 0.00013354 -0.028311426
428 0.00013356 -0.032355916
429 0.00013358 -0.036400405
430 0.0001336 -0.048533874
431 0.00013362 -0.044489384
432 0.00013364 -0.032355916
433 0.00013366 -0.028311426
434 0.00013368 -0.028311426
435 0.0001337 -0.036400405
436 0.00013372 -0.048533874
437 0.00013374 -0.040444895
438 0.00013376 -0.036400405
439 0.00013378 -0.020222447
440 0.0001338 -0.020222447
441 0.00013382 -0.032355916
442 0.00013384 -0.040444895
443 0.00013386 -0.048533874
444 0.00013388 -0.048533874
445 0.0001339 -0.044489384
446 0.00013392 -0.040444895
447 0.00013394 -0.040444895
448 0.00013396 -0.028311426
449 0.00013398 -0.028311426
450 0.000134 -0.020222447
451 0.00013402 -0.024266937
452 0.00013404 -0.028311426
453 0.00013406 -0.032355916
454 0.00013408 -0.032355916
455 0.0001341 -0.036400405
456 0.00013412 -0.036400405
457 0.00013414 -0.032355916
458 0.00013416 -0.028311426
459 0.00013418 -0.024266937
460 0.0001342 -0.020222447
461 0.00013422 -0.024266937
462 0.00013424 -0.024266937
463 0.00013426 -0.020222447
464 0.00013428 -0.024266937
465 0.0001343 -0.024266937
466 0.00013432 -0.028311426
467 0.00013434 -0.028311426
468 0.00013436 -0.024266937
469 0.00013438 -0.028311426
470 0.0001344 -0.032355916
471 0.00013442 -0.024266937
472 0.00013444 -0.020222447
473 0.00013446 -0.020222447
474 0.00013448 -0.020222447
475 0.0001345 -0.0080889789
476 0.00013452 -0.0040444895
477 0.00013454 -0.012133468
478 0.00013456 -0.016177958
479 0.00013458 -0.0080889789
480 0.0001346 -0.0080889789
481 0.00013462 -0.0080889789
482 0.00013464 -0.016177958
483 0.00013466 -0.016177958
484 0.00013468 -0.016177958
485 0.0001347 -0.016177958
486 0.00013472 -0.0080889789
487 0.00013474 -0.0040444895
488 0.00013476 -0.012133468
489 0.00013478 -0.020222447
490 0.0001348 -0.020222447
491 0.00013482 -0.024266937
492 0.00013484 -0.020222447
493 0.00013486 -0.012133468
494 0.00013488 -0.012133468
495 0.0001349 -0.0080889789
496 0.00013492 -0.016177958
497 0.00013494 -0.012133468
498 0.00013496 -0.012133468
499 0.00013498 -0.020222447
500 0.000135 -0.016177958
501 0.00013502 -0.0080889789
502 0.00013504 -0.0080889789
503 0.00013506 -0.016177958
504 0.00013508 -0.020222447
505 0.0001351 -0.020222447
506 0.00013512 -0.024266937
507 0.00013514 -0.0080889789
508 0.00013516 -0.0040444895
509 0.00013518 -0.0080889789
510 0.0001352 -0.012133468
511 0.00013522 -0.016177958
512 0.00013524 -0.016177958
513 0.00013526 -0.016177958
514 0.00013528 -0.020222447
515 0.0001353 -0.020222447
516 0.00013532 -0.020222447
517 0.00013534 -0.016177958
518 0.00013536 -0.024266937
519 0.00013538 -0.024266937
520 0.0001354 -0.024266937
521 0.00013542 -0.024266937
522 0.00013544 -0.020222447
523 0.00013546 -0.012133468
524 0.00013548 -0.0080889789
525 0.0001355 -0.0080889789
526 0.00013552 -0.016177958
527 0.00013554 -0.016177958
528 0.00013556 -0.0080889789
529 0.00013558 -0.0080889789
530 0.0001356 0
531 0.00013562 -0.0040444895
532 0.00013564 -0.0040444895
533 0.00013566 -0.0040444895
534 0.00013568 -0.0080889789
535 0.0001357 -0.0080889789
536 0.00013572 -0.0080889789
537 0.00013574 -0.016177958
538 0.00013576 -0.016177958
539 0.00013578 -0.0080889789
540 0.0001358 -0.0040444895
541 0.00013582 0.0040444895
542 0.00013584 -0.0040444895
543 0.00013586 -0.0080889789
544 0.00013588 -0.0040444895
545 0.0001359 -0.012133468
546 0.00013592 -0.012133468
547 0.00013594 -0.0080889789
548 0.00013596 -0.012133468
549 0.00013598 0
550 0.000136 -0.0040444895
551 0.00013602 -0.0080889789
552 0.00013604 -0.012133468
553 0.00013606 -0.012133468
554 0.00013608 -0.0080889789
555 0.0001361 0
556 0.00013612 0.0080889789
557 0.00013614 0.0040444895
558 0.00013616 0.0040444895
559 0.00013618 0.0080889789
560 0.0001362 0.0080889789
561 0.00013622 0.0080889789
562 0.00013624 0.012133468
563 0.00013626 0.012133468
564 0.00013628 0.0080889789
565 0.0001363 0.012133468
566 0.00013632 0.0080889789
567 0.00013634 0.0080889789
568 0.00013636 0.012133468
569 0.00013638 0
570 0.0001364 0
571 0.00013642 0.0080889789
572 0.00013644 0.016177958
573 0.00013646 0.020222447
574 0.00013648 0.020222447
575 0.0001365 0.012133468
576 0.00013652 0.0040444895
577 0.00013654 0
578 0.00013656 0
579 0.00013658 0
580 0.0001366 0.0040444895
581 0.00013662 0.0040444895
582 0.00013664 0
583 0.00013666 0.0040444895
584 0.00013668 0.0080889789
585 0.0001367 0.012133468
586 0.00013672 0.024266937
587 0.00013674 0.016177958
588 0.00013676 0.0080889789
589 0.00013678 0.0040444895
590 0.0001368 0.0040444895
591 0.00013682 0.012133468
592 0.00013684 0.020222447
593 0.00013686 0.020222447
